2022-01-14 14:44:05,0318956 [INFO]  CameraLector::Camera Lector() CameraLector message not took in charge : sAN mTCgateoffdiag 1
2022-01-14 14:44:05,2842109 [INFO]  BarcodeManager::Camera Lector() StopScanningIndex changed, the PLC sent a message to stop the barcode
2022-01-14 14:44:06,1040241 [WARN]  CameraLector::ParseCodeType() The read barcode type is unknown : ?EANUPC
2022-01-14 14:44:06,1109892 [WARN]  CameraLector::ParseCodeType() The read barcode type is unknown : ?EANUPC
2022-01-14 14:44:06,1827867 [INFO]  BarcodeManager::Camera Lector() HMI sending the result to the PLC
2022-01-14 14:44:07,1242685 [INFO]  CameraLector::Camera Lector() Deleting allt he FTP files
2022-01-14 14:44:07,1851174 [INFO]  CameraLector::Camera Lector() Reset of the camera
2022-01-14 14:44:07,1881210 [INFO]  CameraLector::Camera Lector() Set Run Mode from sAN SetAccessMode 1
2022-01-14 14:44:07,1901212 [INFO]  CameraLector::Camera Lector() CameraLector message not took in charge : sAN mAPCReset
2022-01-14 14:44:07,1911028 [INFO]  CameraLector::Camera Lector() CameraLector message not took in charge : sAN Run 1
2022-01-14 14:44:24,1696858 [INFO]  SystemVisionBase::FinalProcessing_NewResult() New Result - 'Stack Locator 1000536'
2022-01-14 14:44:29,9911533 [WARN]  ProductionDataView.xaml::StatisticsSettings() Dispatcher.MonitoredInvoke() took too long (14.445 ms) to execute.
2022-01-14 14:44:30,5336964 [INFO]  BarcodeManager::Camera Lector() StartScanningIndex changed, the PLC sent a message to start the barcode
2022-01-14 14:44:30,5336964 [INFO]  BarcodeManager::Camera Lector() There is at least 1 barcode to check
2022-01-14 14:44:30,5336964 [INFO]  BarcodeManager::Camera Lector() The barcode start request is 1, so to start the Lector
2022-01-14 14:44:30,5336964 [INFO]  CameraLector::Camera Lector() StartFreeRunInternal to start the barcode
2022-01-14 14:44:30,5346668 [INFO]  CameraLector::Camera Lector() Acquisition started message
2022-01-14 14:44:30,7810314 [INFO]  BarcodeManager::Camera Lector() StartScanningIndex changed, the PLC sent a message to start the barcode
2022-01-14 14:44:30,7810314 [INFO]  BarcodeManager::Camera Lector() There is at least 1 barcode to check
2022-01-14 14:44:33,7820098 [INFO]  BarcodeManager::Camera Lector() StopScanningIndex changed, the PLC sent a message to stop the barcode
